dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-2.220446049250313e-17,0.0,2.266710310712307e-16,-4.662936703425657e-16,2.3314683517128224e-16,0.05,0.05,"[-0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-168.09724277885016,-191.6111233665015,28.324397789983667,-195.43838847079996,-132.6703170190247,1.0,0.0,"[-195.4384, -132.6703]"
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-168.08379041150002,-191.597328256501,28.32394563176222,-195.4246581768001,-132.65790949554776,1.0,0.0,"[-195.4247, -132.6579]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0325619289132879,0.0342149766321649,0.0048895959933245,0.0231007800549147,0.0385803946600492,0.0,1.0,"[0.0231, 0.0386]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0428538065687248,-0.0430114037901032,0.0027486378782452,-0.0471730043491404,-0.0376168248380685,1.0,0.0,"[-0.0472, -0.0376]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0315802651149413,0.0315153428682937,0.0059720705079838,0.0222236781748654,0.0440297520676334,0.0,1.0,"[0.0222, 0.0440]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.0526915906950103,-0.0527504359173514,0.0046999983802032,-0.0609921504110218,-0.0443183558997831,1.0,0.0,"[-0.0610, -0.0443]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-201.23162768354987,-205.83326579299955,34.36289888793863,-238.6956773233753,-144.20033606189946,1.0,0.0,"[-238.6957, -144.2003]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-200.36982913384963,-205.02767340599712,34.29085004503288,-237.8924233480258,-143.5416153695248,1.0,0.0,"[-237.8924, -143.5416]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0989396299268669,0.0960920326576752,0.0083500381768733,0.0856792321141129,0.1149079815741434,0.0,1.0,"[0.0857, 0.1149]"
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0540698021051971,-0.0535277868196023,0.0034610164489783,-0.0600356620487589,-0.0480365436336151,1.0,0.0,"[-0.0600, -0.0480]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.1084171664073242,0.1062493342796843,0.0105344282142399,0.0931917833033139,0.127360453102635,0.0,1.0,"[0.0932, 0.1274]"
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.0677468913768854,-0.0673400233819692,0.0048962132105809,-0.0763748558310937,-0.059133458459301,1.0,0.0,"[-0.0764, -0.0591]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-164.92651436095102,-175.30910191300063,22.18028228451848,-188.259553179227,-129.02188102037553,1.0,0.0,"[-188.2596, -129.0219]"
