method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mean_pca,0.7173713690089116,0.5630843699571493,0.003924233998986892,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,14,563165443,553111267,815560736,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07873729160643284,0.06091325683825418,1.1629417730000569,,True,10.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,14,563165443,553111267,815560736,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07185629790918151,0.05585114152924825,893.3041954940054,0.0014397481814298538,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,14,563165443,553111267,815560736,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.737212577955727,0.5751552087372579,0.0037451889947988093,,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,15,6831379,921954850,818336756,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07831447506793253,0.06043252943183928,1.1306050559942378,,True,8.0,False,24,24,synthetic,MCAR,random,0.3,5,1000x50,15,6831379,921954850,818336756,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07050981900124116,0.05487192334692156,1010.0479015370001,0.00142661051769791,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,15,6831379,921954850,818336756,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7284496221702094,0.5652214210189324,0.00372463100211462,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,16,1257204109,1236678030,603990709,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.0837908883774881,0.0648792990145985,1.128480043997115,,True,8.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,16,1257204109,1236678030,603990709,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07597075356757023,0.05934526257352307,955.910064482996,0.0016048374363574456,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,16,1257204109,1236678030,603990709,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7283744599139536,0.5641813037267979,0.003302624994830694,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,17,917617123,1080484779,1793368634,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.08601341890807597,0.06376059168987533,0.8365095810004277,,True,7.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,17,917617123,1080484779,1793368634,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07794721654151394,0.05774401779270024,774.123778287998,0.0016597789941993567,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,17,917617123,1080484779,1793368634,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7231027203915561,0.5597747104620331,0.003759220999199897,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,18,165097156,1323904880,172157002,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07743876781695927,0.05961211872252775,1.144867910996254,,True,8.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,18,165097156,1323904880,172157002,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07097993989621192,0.05513528350992477,960.5776935800022,0.00141250826069388,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,18,165097156,1323904880,172157002,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7267403995153333,0.5659089554878584,0.0036053559961146675,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,19,571410849,953565535,1741656721,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07164509991885461,0.05604955342878149,1.1023673320014495,,True,8.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,19,571410849,953565535,1741656721,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06496815674210099,0.05093271192794917,956.8868974680008,0.0011790195069700704,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,19,571410849,953565535,1741656721,1000,50,15000,zscore_observed_only,True,True
